                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.5416,                0.50669,                      1,                 10.956,               0.070159,              0.0033157,              0.0033157
                      1,                 5.5047,                0.55411,                      1,                  10.75,               0.040093,              0.0065832,              0.0065832
                      2,                 5.4222,                0.58461,                      1,                 10.639,              0.0099611,              0.0097847,              0.0097847
                      3,                 5.2532,                0.69717,                      1,                 9.8313,               0.009703,               0.009703,               0.009703
                      4,                  4.958,                0.73121,                      1,                 9.2953,               0.009703,               0.009703,               0.009703
                      5,                 4.7642,                0.68044,                      1,                 9.7063,               0.009604,               0.009604,               0.009604
                      6,                 4.6205,                0.75364,                      1,                 9.0844,               0.009505,               0.009505,               0.009505
                      7,                 4.5059,                0.72334,                      1,                 9.3578,               0.009406,               0.009406,               0.009406
                      8,                 4.4169,                0.79418,                      1,                 8.3141,               0.009307,               0.009307,               0.009307
                      9,                 4.3508,                0.79378,                      1,                 8.7203,               0.009208,               0.009208,               0.009208
                     10,                 4.2707,                0.80067,                      1,                 8.4641,               0.009109,               0.009109,               0.009109
                     11,                 4.2023,                  0.805,                      1,                 8.1141,                0.00901,                0.00901,                0.00901
                     12,                 4.1543,                0.82468,                      1,                 8.2203,               0.008911,               0.008911,               0.008911
                     13,                 4.1146,                0.78867,                      1,                 8.4797,               0.008812,               0.008812,               0.008812
                     14,                 4.0376,                0.76348,                      1,                 9.0609,               0.008713,               0.008713,               0.008713
                     15,                 3.9988,                0.84947,                      1,                 7.6094,               0.008614,               0.008614,               0.008614
                     16,                 3.9219,                0.84632,                      1,                 7.8945,               0.008515,               0.008515,               0.008515
                     17,                 3.8627,                0.85557,                      1,                 7.4461,               0.008416,               0.008416,               0.008416
                     18,                 3.8134,                0.82113,                      1,                 8.1742,               0.008317,               0.008317,               0.008317
                     19,                 3.7674,                0.86364,                      1,                 7.3414,               0.008218,               0.008218,               0.008218
                     20,                 3.6872,                0.86698,                      1,                 7.3883,               0.008119,               0.008119,               0.008119
                     21,                 3.6458,                0.88508,                      1,                 7.0422,                0.00802,                0.00802,                0.00802
